Date,Value
2016/6/30,463
2016/5/31,496
2016/4/30,473
2016/3/31,424
2016/2/29,408
2016/1/31,559
2015/12/31,475
2015/11/30,455
2015/10/31,495
2015/9/30,542
2015/8/31,542
2015/7/31,372
2015/6/30,509
2015/5/31,467
2015/4/30,466
2015/3/31,574
2015/2/28,534
2015/1/31,503
2014/12/31,530
2014/11/30,482
2014/10/31,502
2014/9/30,455
2014/8/31,482
2014/7/31,536
2014/6/30,549
2014/5/31,550
2014/4/30,554
2014/3/31,519
2014/2/28,546
2014/1/31,508
2013/12/31,497
2013/11/30,603
2013/10/31,611
2013/9/30,583
2013/8/31,598
2013/7/31,643
2013/6/30,604
2013/5/31,595
2013/4/30,610
2013/3/31,667
2013/2/28,597
2013/1/31,566
2012/12/31,584
2012/11/30,588
2012/10/31,528
2012/9/30,514
2012/8/31,534
2012/7/31,601
2012/6/30,495
2012/5/31,500
2012/4/30,507
2012/3/31,506
2012/2/29,486
2012/1/31,559
2011/12/31,725
2011/11/30,565
2011/10/31,547
2011/9/30,571
2011/8/31,536
2011/7/31,513
2011/6/30,515
2011/5/31,489
2011/4/30,571
2011/3/31,633
2011/2/28,649
2011/1/31,604
2010/12/31,540
2010/11/30,407
2010/10/31,460
2010/9/30,592
2010/8/31,556
2010/7/31,610
2010/6/30,724
2010/5/31,763
2010/4/30,717
2010/3/31,652
2010/2/28,673
2010/1/31,663
2009/12/31,695
2009/11/30,809
2009/10/31,777
2009/9/30,652
2009/8/31,629
2009/7/31,625
2009/6/30,585
2009/5/31,552
2009/4/30,503
2009/3/31,498
2009/2/28,664
2009/1/31,518
2008/12/31,547
2008/11/30,576
2008/10/31,639
2008/9/30,655
2008/8/31,702
2008/7/31,671
2008/6/30,645
